"VANGUARD AUSTRALIAN PROPERTY SECURITIES INDEX ETF","VAP",
"VANGUARD AUSTRALIAN SHARES INDEX ETF","VAS",
"VICINITY CENTRES","VCX",
"VANGUARD DIVERSIFIED HIGH GROWTH INDEX ETF","VDHG",
"VIVA ENERGY GROUP LIMITED","VEA",
"VANGUARD MSCI INDEX INTERNATIONAL SHARES (HEDGED) ETF","VGAD",
"VANGUARD MSCI INDEX INTERNATIONAL SHARES ETF","VGS",
"VANGUARD AUSTRALIAN SHARES HIGH YIELD ETF","VHY",
"VENTIA SERVICES GROUP LIMITED","VNT",
"VULCAN STEEL LIMITED","VSL",
"VANGUARD MSCI AUSTRALIAN SMALL COMPANIES INDEX ETF","VSO",
"VIRGIN MONEY UK PLC","VUK",
"VULCAN ENERGY RESOURCES LIMITED","VUL",
"VANGUARD GLOBAL VALUE EQUITY ACTIVE ETF (MANAGED FUND)","VVLU",
"WAM CAPITAL LIMITED","WAM",
"WESTPAC BANKING CORPORATION","WBC",
"WEEBIT NANO LTD","WBT",
"WOODSIDE ENERGY GROUP LTD","WDS",
"WEBJET LIMITED","WEB",
"WESFARMERS LIMITED","WES",
"WHITEHAVEN COAL LIMITED","WHC",
"WORLEY LIMITED","WOR",
"WOOLWORTHS GROUP LIMITED","WOW",
"WAYPOINT REIT","WPR",
"WISETECH GLOBAL LIMITED","WTC",
"SPDR S&P WORLD EX AUSTRALIA CARBON CONTROL FUND","WXOZ",
"XERO LIMITED","XRO",
"YANCOAL AUSTRALIA LIMITED","YAL",
"ZIMPLATS HOLDINGS LIMITED","ZIM",
